Cypress Wind Power Facility Canada,Canada,Operating Fully,50.0172,-108.5096,11,"About 12 km southwest of Gull Lake, Saskatchewan, Canada",Please Select,16,34,4.16,Please Select,SaskPower International,,Government Provincial,,SaskPower International,,,http://www.canwea.ca/farms/wind-farms_e.php
Gros-Morne Wind Farm Canada,Canada,Operating Fully,49.202,-65.65,211.5,"Municipalities of Saint-Maxime-du-Mont-Louis and Sainte-Madeleine-de-la-Rivière-Madeleine, Quebec, Canada",Forest,141,,,Regional Grid,Innergex,38,,,Cartier Wind Energy,,,http://www.innergex.com/en/gros-morne  http://www.innergex.com/sites-innergex http://www.innergex.com/en/operation
Halkirk Wind Farm Canada,Canada,Operating Fully,52.2664,-112.044,150,"East of Halkirk, Alberta, Canada",Grazing Land,83,,3,Regional Grid,Capital Power,100,,,Capital Power,,,http://www.capitalpower.com/generationportfolio/merchantcommercial/Pages/Halkirk.aspx
Kingsbridge I Wind Farm Canada,Canada,Operating Fully,43.8484,-81.659,39.6,"Ashfield-Colborne-Wawanosh, Ontario, Canada",Farmland,23,,4,Please Select,Capital Power,100,,,Capital Power,,,http://www.capitalpower.com/generationportfolio/contractedfacilities/Pages/Kingsbridge.aspx
Lac Alfred Wind Farm Canada,Canada,Operating Fully,48.4444,-67.728,300,"Amqui, Quebec, Canada",Forest,150,,,Regional Grid,Enbridge,67.5,,,Senvion Canada Inc,,,http://www.edf-en.ca/lac-alfred
Le Nordais Wind Farm Canada,Canada,Operating Fully,49.053,-66.748,99,"Cap-Chat, Quebec, Canada",Forest,132,165,,Regional Grid,TransAlta,100,,,TransAlta,,,http://www.transalta.com/facilities/plants-operation/le-nordais
Melancthon I and II Wind Farm Canada,Canada,Operating Fully,44.0915,-80.2986,200,"Shelburne, Onterio, Canada",Please Select,133,895,,Regional Grid,TransAlta Energy Corporation,,,TransAlta Energy Corporation,TransAlta Energy Corporation,,,http://www.powerauthority.on.ca/wind-power/melancthon-i-wind-plant-675-mw-melancthon-twp
Montagne Seche Wind Farm Canada,Canada,Operating Fully,49.1888,-64.983,58.5,"Pointe-à-la-Frégate, Quebec, Canada",Forest,39,193.4,,Regional Grid,TransCanada Corporation,62,,Cartier Wind Energy,Cartier Wind Energy,,,http://www.cartierenergie.com/en/cartier-energie.aspx?sec=26
New Richmond Wind Farm Canada,Canada,Operating Fully,48.2265,-65.6652,67.8,"Gaspé Peninsula, Quebec, Canada",Forest,33,,,Regional Grid,TransAlta,100,,TransAlta,Venterre NRG (Subsidiary of TransAlta),,,http://www.transalta.com/facilities/plants-operation/new-richmond
Port Dover & Nanticoke Wind Farm Canada,Canada,Operating Fully,42.8072,-80.15,104.4,"Haldimand and Norfolk Counties, Ontario, Canada",Farmland,58,,,Regional Grid,Capital Power,100,,,Capital Power,,,http://www.capitalpower.com/generationportfolio/contractedfacilities/Pages/portdovernanticoke.aspx
Prince I and II Wind Farm Canada,Canada,Operating Fully,46.6131,-84.4806,189,"Sault Ste-Marie, Ontario, Canada",Please Select,126,535,,Regional Grid,Brookfield Power,,,Superior Wind Prince Power Inc (Subsidary of Brookfield Power),Brookfield Renewable Power,,,http://www.powerauthority.on.ca/wind-power/prince-i-wind-power-project-99-mw-aweresdennispennefatherprince-twp
Quality Wind Project Canada,Canada,Operating Fully,55.2054,-120.843,142.2,"East of Tumbler Ridge, British Columbia, Canada",Forest,79,,3,Regional Grid,Capital Power,100,,,Capital Power,,,http://www.capitalpower.com/generationportfolio/contractedfacilities/Pages/QualityWind.aspx
SunBridge Wind Power Project Canada,Canada,Operating Fully,50.0539,-108.4244,11.2,"5 Km SE of Gull Lake, Saskatchewan, Canada",Please Select,17,,4,Regional Grid,Suncor Energy Inc,50,,SunBridge Wind Power Project,,,,http://www.saskpower.com/about_us/generation_transmission_distribution/wind_facilities.shtml
Viger-Denonville Wind Farm Canada,Canada,Operating Fully,47.9063,-69.24013,24.6,"Saint-Paul-de-la-Croix, Quebec, Canada",Forest,12,,,Regional Grid,Rivière-du-Loup MRC,50,,,Innergex,,,http://www.innergex.com/en/viger-denonville
Wolfe Island Wind Farm Canada,Canada,Operating Fully,44.1732,-76.4446,197.8,"Wolfe Island, Township of Frontenac, Ontario, Canada",Please Select,86,593,,Please Select,TransAlta Energy Corp,100,,TransAlta Energy Corp,TransAlta Energy Corp,,,http://www.powerauthority.on.ca/wind-power/wolfe-island-wind-project-1978-mw-wolfe-island
Wolfe Island Wind Farm Canada,Canada,Operating Fully,44.16,-76.422,197.8,"Wolfe Island, Ontario, Canada",Farmland,86,594,,Regional Grid,TransAlta,70,IPP,Canadian Hydro Developers,Canadian Hydro (Subsidiary of TransAlta),,,http://www.transalta.com/facilities/plants-operation/wolfe-island
Canela I Wind Farm Chile,Chile,Operating Fully,-31.3022,-71.6185,18.15,"km 298 ruta 5 Norte, Canela, Coquimbo, Chile",Sea Shore,11,57,,Please Select,Endsea Chile,100,IPP,Enel Green Power,Endsea Eco,,,http://www.endesa.cl/Endesa_Chile/action.asp?id=11124&lang=en
Canela II Wind Farm Chile,Chile,Operating Fully,-31.3022,-71.6185,60,"km 298 ruta 5 Norte, Coquimbo, Chile",Sea Shore,40,140.5,,Regional Grid,Endesa Chile,,IPP,Acciona,Central Eolica Canela S.A,,,http://www.endesa.cl/Endesa_Chile/action.asp?id=11131&lang=en
El Totoral Wind Farm Chile,Chile,Operating Fully,-31.3379,-71.6011,46,"km 300 ruta 5 Norte, Coquimbo, Chile",Sea Shore,23,103,,Regional Grid,"Norvind S.A., which is a subsidiary of the Norwegian company SN Power",100,,Skanska LA,Norvind S.A.,,"IFC, DnB NOR",http://skanska-sustainability-case-studies.com/pdfs/61/61_ElTotoral_v001.pdf
Talinay Wind Farm Chile,Chile,Operating Fully,-30.5977,-71.1961,90,"Near Ovalle, Coquimbo, Chile",Please Select,45,200,,Regional Grid,Enel Green Power,,,,Enel Green Power,,,
Aeroenergia Wind Farm Costa Rica,Costa Rica,Operating Fully,10.5054,-84.9677,6.4,"4.3km north of Tilaran, Montecisto Ridge, Guanacaste, Costa Rica",Grazing Land,9,,,National Grid,Grupo Ecoenergia,,Private,,Grupo Ecoenergia,,,http://www.grupoecoenergia.com/aeroenergia/en/servicios_aeroenergia.php?servid=6
