Name,Description,URL
Pritesh Shah,Pritesh Shah is a Solutions Architect at CentralBOS LLC. Pritesh is responsible for integrating technologies with best practices to translate b...,https://www.packtpub.com/books/info/authors/pritesh-shah
Subhash Shah,Subhash Shah works as a Principal Consultant at KNOWARTH Technologies. He holds a degree in Information Technology from HNGU. He is experienced...,https://www.packtpub.com/books/info/authors/subhash-shah
Prashant Goswami,"Prashant Goswami works as a Senior Consultant at KNOWARTH Technologies and handles enterprise projects with regard to software design, developm...",https://www.packtpub.com/books/info/authors/prashant-goswami
Chintan Mehta,"Chintan Mehta is a co-founder of KNOWARTH Technologies and heads the cloud/RIMS/DevOps team. He has rich, progressive experience in server admi...",https://www.packtpub.com/books/info/authors/chintan-mehta
Dinesh Radadiya,"Dinesh Radadiya works as a Lead Consultant and Architect at KNOWARTH Technologies, a leading open source software development company. He is a ...",https://www.packtpub.com/books/info/authors/dinesh-radadiya
Igor Kucherenko,"Igor Kucherenko is an Android developer at Techery, a software development company that uses Kotlin as the main language for Android developmen...",https://www.packtpub.com/books/info/authors/igor-kucherenko
Samuel Urbanowicz,Samuel Urbanowicz is an experienced software engineer skilled in mobile applications and backend development. Being a great fan of modern and f...,https://www.packtpub.com/books/info/authors/samuel-urbanowicz
Dipanjan Sarkar,"Dipanjan Sarkar is a Data Scientist at Intel, on a mission to make the world more connected and productive. He primarily works on data scienc...",https://www.packtpub.com/books/info/authors/dipanjan-sarkar
Raghav Bali,"Raghav Bali is a Data Scientist at Optum, a United Health Group Company. He is part of the Data Science group where his work is enabling Unit...",https://www.packtpub.com/books/info/authors/raghav-bali
Pethuru Raj,"Pethuru Raj Ph.D. has been working as the chief architect in the Site Reliability Engineering (SRE) Center of Excellence, Reliance Jio Infocomm...",https://www.packtpub.com/books/info/authors/pethuru-raj
Andrew Caya,"Andrew Caya started programming computers in GW-BASIC and QBASIC in the early 90s. Before becoming a PHP developer almost 10 years ago, he did ...",https://www.packtpub.com/books/info/authors/andrew-caya
Jason Dion,"Jason Dion, CISSP No. 349867, is a Adjunct Instructor at Liberty University’s College of Engineering and Computational Science and Anne Arund...",https://www.packtpub.com/books/info/authors/jason-dion
Anatolii Kmetiuk,"Anatolii Kmetiuk is a CEO of FunctorTech OÜ, the Pure Functional Programming in Scala consultancy. During his programming career, he worked on...",https://www.packtpub.com/books/info/authors/anatolii-kmetiuk
Toni de la Fuente,"Toni De La Fuente works for Alfresco Software as a Lead Security Operations and Senior Security Architect. Among other projects, Toni develops ...",https://www.packtpub.com/books/info/authors/toni-de-la-fuente
Amin Ahmadi Tazehkandi,"Amin Ahmadi Tazehkandi is an Iranian author, developer and a computer vision expert. He completed his computer software engineering studies in ...",https://www.packtpub.com/books/info/authors/amin-ahmadi-tazehkandi
Rivu Chakraborty,"Rivu Chakraborty is a Google Certified Android Developer, Caster.io Instructor and Sr. Tech Member of Institute of Engineers (India). He also h...",https://www.packtpub.com/books/info/authors/rivu-chakraborty
Kenneth Geisshirt,Kenneth Geisshirt is a chemist by education and is a strong free-software advocate. He spent his Christmas holidays in 1992 installing SLS Linu...,https://www.packtpub.com/books/info/authors/kenneth-geisshirt
Alan Rodrigues,Alan Rodrigues has been working on software components such as Docker containers and Kubernetes for the last 2 years. He has extensive experien...,https://www.packtpub.com/books/info/authors/alan-rodrigues
Jonathan Linowes,"Jonathan Linowes founded Parkerhill Reality Labs, an immersive media indie studio and is the developer of the BridgeXR toolkit, Power Solitai...",https://www.packtpub.com/books/info/authors/jonathan-linowes
Zeal Vora,Zeal Vora works as a DevSecOps Engineer primarily in the area of Defensive Security. He spends his days protecting and implementing security ...,https://www.packtpub.com/books/info/authors/zeal-vora
Rohan Almeida,"Rohan Almeida, is a full-stack developer with more than 15 years' experience in developing custom web-based and mobile applications. He is...",https://www.packtpub.com/books/info/authors/rohan-almeida
Mifta Sintaha,"Mifta Sintaha is a big enthusiast of new web technologies that are out there to make everyone's life easier. She is a Software Engineer, a...",https://www.packtpub.com/books/info/authors/mifta-sintaha-0
Oscar Reyes,Oscar Reyes is a Freelance Computer Network and Telecommunications Professional. He has a BA in Management in IT. He holds certifications in CC...,https://www.packtpub.com/books/info/authors/oscar-reyes
Marc Heuse,Marc “van Hauser” Heuse started to be interested in IT security in 1993. He founded one of the world's oldest security research commun...,https://www.packtpub.com/books/info/authors/marc-heuse
José Manuel Ortega,"Jose is a Software Engineer really focused on new technologies, open source, security, and testing.His career has been focused from the beginni...",https://www.packtpub.com/
Mohamed Labouardy,"Mohamed Labouardy is a Software Engineer/Site Reliability Engineer, 3x AWS Certified and Scrum Master Certified. His currents interests include...",https://www.packtpub.com/
"Andrew Bell, Sander Rensen, Luis Weir, Phil Wilkins","Andrew Bell   works at Capgemini, where he is a Senior Applications Consultant for the Oracle Practice. He has more than 30 years’ experien...",https://www.packtpub.com/books/info/authors/andrew-bell-sander-rensen-luis-weir-phil-wilkins
Thushan Ganegedara,"Thushan Ganegedara is currently a third year Ph.D. student at the University of Sydney, Australia. He is specializing in machine learning and h...",https://www.packtpub.com/books/info/authors/thushan-ganegedara
Dinesh Rajput,"Dinesh Rajput is the founder of Dineshonjava, a blog for Spring and Java techies. He is a Spring enthusiast and a Pivotal Certified Spring Prof...",https://www.packtpub.com/books/info/authors/dinesh-rajput
Sean Au,Sean is a blockchain researcher and trainer with a B.E. (Hons) in Electrical Engineering and a Masters in Engineering Management from Canterbur...,https://www.packtpub.com/books/info/authors/sean-au
Michael Solberg,"Michael Solberg, as a chief architect, is responsible for helping Red Hat customers achieve their key business transformation initiatives throu...",https://www.packtpub.com/books/info/authors/michael-solberg
Ben Silverman,"Ben Silverman, the Chief Cloud Officer for the service provider/Telco team at OnX. Previously, Ben has worked as a Sr. system architect for Mir...",https://www.packtpub.com/books/info/authors/ben-silverman
James Yan,"James Yan is an undergraduate student at the University of Toronto (UofT), currently double-majoring in computer science and statistics. He has...",https://www.packtpub.com/books/info/authors/james-yan
Dr. Yuxing Yan,"Dr. Yuxing Yan graduated from McGill University with a PhD in finance. He has taught various finance courses at eight universities in Canada, S...",https://www.packtpub.com/books/info/authors/dr-yuxing-yan
Giuseppe Ciaburro,Giuseppe Ciaburro holds a PhD in environmental technical physics and two master's degrees. His research is on machine learning application...,https://www.packtpub.com/books/info/authors/giuseppe-ciaburro
Michelle Gutzait,"Michelle Gutzait has been in IT for 30 years as a developer, business analyst, and database consultant. She has worked with MS SQL Server for 2...",https://www.packtpub.com/books/info/authors/michelle-gutzait
Christian Cote,Christian Coté has been in IT for more than 12 years. He is an MS-certified technical specialist in business intelligence (MCTS-BI). For about...,https://www.packtpub.com/books/info/authors/christian-cote
