Word,Audio,Category
chosen,https://upload.wikimedia.org/wikipedia/commons/1/17/En-us-chosen.ogg,verb
chow,,
Christmas,,
chuckle,,
chug,https://upload.wikimedia.org/wikipedia/commons/6/6a/En-us-chug.ogg,noun
chum,https://upload.wikimedia.org/wikipedia/commons/a/a8/En-us-chum.ogg,noun
chunk,https://upload.wikimedia.org/wikipedia/commons/4/48/En-us-chunk.ogg,noun
cider,https://upload.wikimedia.org/wikipedia/commons/4/45/En-us-cider.ogg,noun
cigar,https://upload.wikimedia.org/wikipedia/commons/e/e1/En-us-cigar.ogg,noun
cigarette,https://upload.wikimedia.org/wikipedia/commons/5/5d/En-us-cigarette.ogg,noun
cigarettes,,
Cinderella,,
Cindy,,
cinema,https://upload.wikimedia.org/wikipedia/commons/1/1d/En-us-cinema.ogg,noun
cinnamon,https://upload.wikimedia.org/wikipedia/commons/e/e6/En-us-cinnamon.ogg,noun
circle,https://upload.wikimedia.org/wikipedia/commons/3/39/En-us-circle.ogg,noun
circumstances,,
circus,https://upload.wikimedia.org/wikipedia/commons/c/cf/En-us-circus.ogg,noun
citizen,https://upload.wikimedia.org/wikipedia/commons/c/c4/En-us-citizen.ogg,noun
citizens,https://upload.wikimedia.org/wikipedia/commons/b/b5/En-us-citizens.ogg,noun
citrus,,
city,https://upload.wikimedia.org/wikipedia/commons/9/92/En-us-city.ogg,noun
civic,,
civilians,,
claiming,,
clamp,https://upload.wikimedia.org/wikipedia/commons/8/84/En-us-clamp.ogg,noun
clan,https://upload.wikimedia.org/wikipedia/commons/transcoded/3/39/En-us-clan.ogg/En-us-clan.ogg.mp3,noun
classmates,,
claw,https://upload.wikimedia.org/wikipedia/commons/d/d1/En-us-claw.ogg,noun
cleaned,https://upload.wikimedia.org/wikipedia/commons/8/8e/En-us-cleaned.ogg,verb
cleared,https://upload.wikimedia.org/wikipedia/commons/8/84/En-us-cleared.ogg,verb
cleats,,
clef,,
clen,,
clenched,,
click,https://upload.wikimedia.org/wikipedia/commons/3/38/En-uk-click.ogg,noun
clicks,,
climbed,https://upload.wikimedia.org/wikipedia/commons/3/3a/En-us-climbed.ogg,verb
clinch,https://upload.wikimedia.org/wikipedia/commons/7/79/En-us-clinch.ogg,verb
cling,,
clip,https://upload.wikimedia.org/wikipedia/commons/6/61/En-us-clip.ogg,verb
clocks,,
clog,,
clop,,
closes,https://upload.wikimedia.org/wikipedia/commons/6/66/En-us-closes.ogg,verb
clothe,https://upload.wikimedia.org/wikipedia/commons/d/dc/En-us-clothe.ogg,verb
cloths,,
