Kalpakkam (Madras) Atomic Power Station India,India,Operating Fully,12.5574,80.17584,440,Pressurized Heavy Water Reactor (PHWR),"80 km South of Chennai, Tamil Nadu, India",Regional Grid,NUCLEAR POWER CORPORATION OF INDIA LTD,,,NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Kudankulam Nuclear Power Plant (KNPP) India,India,Operating Fully,8.1691,77.71327,2000,Pressurized Water Reactor (PWR),"Kudankulam, Tamil Nadu, India",Regional Grid,Nuclear Power Corporation Of India Ltd,100,Government,,Nuclear Power Corporation Of India Ltd,,,http://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=852
Narora Atomic Power Station India,India,Operating Fully,28.1575,78.4099,440,Pressurized Heavy Water Reactor (PHWR),"Narora, Uttar Pradesh, India",Regional Grid,NUCLEAR POWER CORPORATION OF INDIA LTD,100,,NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Rajasthan Atomic Power Station Rawatbhata India,India,Operating Fully,24.8747,75.6189,1180,Pressurized Heavy Water Reactor (PHWR),"Rawatbhata, Rajasthan, India",Regional Grid,NUCLEAR POWER CORPORATION OF INDIA LTD,100,,NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Tarapur Atomic Power Station India,India,Operating Fully,19.8294,72.66166,1400,Pressurized Heavy Water Reactor (PHWR),"Tarapur, Maharastra, India",Regional Grid,NUCLEAR POWER CORPORATION OF INDIA LTD,,,"GE, GE, NPCIL, NPCIL",NUCLEAR POWER CORPORATION OF INDIA LTD,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Bushehr Nuclear Power Plant Iran,Islamic Republic of Iran,Operating Fully,28.8296,50.88596,1000,Pressurized Water Reactor (PWR),"Bushehr, Islamic Republic of Iran",National Grid,Atomic Energy Organization of Iran,100,Government,,Atomic Energy Organization of Iran,,,http://www.aeoi.org.ir/Portal/Home/
Fukushima Daiichi Nuclear Power Plant Japan,Japan,Operating Fully,37.4218,141.0337,1827,Boiling Water Reactor (BWR),"Fukushima-Ken, Japan",Regional Grid,"TOKYO ELECTRIC POWER CO.,INC.",,,GENERAL ELECTRIC CO.  and TOSHIBA CORPORATION,Tokyo Electric Power Company Inc. (TEPCO),,,http://www.iaea.org/programmes/a2/    (IAEA PRIS Database)
Fukushima Daini Nuclear Power Plant Japan,Japan,Operating Partially,37.3164,141.0265,4400,Boiling Water Reactor (BWR),"Fukushima-Ken, Japan",Regional Grid,"TOKYO ELECTRIC POWER CO.,INC.",,,TOSHIBA CORPORATION for units 1 and 3  HITACHI for units 2 and 4,Tokyo Electric Power Company Inc. (TEPCO),,,http://www.iaea.org/programmes/a2/      (IAEA PRIS Database)
Genkai Nuclear Power Plant Japan,Japan,Mothballed Full,33.5152,129.83596,2783,Pressurized Water Reactor (PWR),"Saga Prefecture, Japan",Regional Grid,"KYUSHU ELECTRIC POWER CO.,INC.",,,MHI (MITSUBISHI HEAVY INDUSTRIES LTD.),"KYUSHU ELECTRIC POWER CO.,INC.",,,http://www.iaea.org/programmes/a2/ (IAEA PRIS Database)
Hamaoka-cho Nuclear Power Plant Japan,Japan,Operating Partially,34.6235,138.14209,4997,Boiling Water Reactor (BWR),"Shizuoka Prefecture, Japan",Regional Grid,"CHUBU ELECTRIC POWER CO.,INC.",,,TOSHIBA (TOSHIBA CORPORATION),"CHUBU ELECTRIC POWER CO.,INC.",,,http://www.iaea.org/programmes/a2/     (IAEA PRIS Database)
Higashi Dori-1 (Tohoku) Nuclear Power Plant Japan,Japan,Shutdown,41.188,141.39028,1067,Boiling Water Reactor (BWR),"Higashi Dori. Aomori, Japan",Regional Grid,Tohoku Electric Power Company,100,,Kajima/Obay,Tohoku Electric Power Company,,,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=JP
Ikata Nuclear Power Station Japan,Japan,Operating Partially,33.4909,132.3088,2022,Pressurized Water Reactor (PWR),"Ehime Prefecture, Japan",Regional Grid,"SHIKOKU ELECTRIC POWER CO.,INC",100,,MHI (MITSUBISHI HEAVY INDUSTRIES LTD.),"SHIKOKU ELECTRIC POWER CO.,INC",,,http://www.iaea.org/programmes/a2/   (IAEA PRIS Database)
Kashiwazaki Kariwa Nuclear Power Plant Japan,Japan,Please Select,37.42592108329,138.59410163841,8212,Please Select,Nigata-Ken,Please Select,"TOKYO ELECTRIC POWER CO.,INC.",,,"TOSHIBA CORPORATION for units 1, 2, 3, and 6, HITACHI for units 4, 5, and 7",Tokyo Electric Power Company Inc. (TEPCO),,,http://www.iaea.org/programmes/a2/  (IAEA PRIS Database)
Mihama Nuclear Power Plant Japan,Japan,Mothballed Full,35.7024,135.9634,780,Pressurized Water Reactor (PWR),"Fukui, Japan",National Grid,KANSAI ELECTRIC POWER CO.,,,"WESTINGHOUSE ELECTRIC CORPORATION AND SIEMENS) for units 1 and 2, MHI (MITSUBISHI HEAVY INDUSTRIES LTD.) for unit 3",KANSAI ELECTRIC POWER CO.,,,http://www.iaea.org/programmes/a2/ (IAEA PRIS Database)
